"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"PGM5",-5.79679569827304,-5.16464992178859,-8.21025984792001,-3.0588900601917,1.61882976159271,-1.77633154681222,0.0162623748174713,4.08798072679679e-12,1.60737093137907e-11,1.05609302757733e-14,8.38662790024306e-14
"PGM5P2",-11.9855626665422,-11.0882246435112,-13.7341576699954,-2.79921672147768,1.67275262635898,-1.59079451989141,0.0245333627670644,4.12558188628133e-10,7.66567442087507e-10,2.00593683130644e-13,8.09666720845538e-13
"PGP",-7.30497885818046,-6.76558464310804,-8.5837111108537,-1.90999827646165,0.807424107566262,-2.30916554133495,1.87149658485312e-05,1.11221417613001e-16,3.0592039786199e-15,1.69112338921448e-17,2.42310270353298e-15
"PGPEP1",-4.50799235560874,-3.61119368699233,-5.47189972452725,-1.87495826094786,1.39234442575932,-1.32146338359547,0.0597333449463193,1.31463244462738e-10,3.4209474126617e-10,3.37603135881411e-11,8.4812379229828e-11
"PGPEP1L",-13.7008545363448,-12.1087722092424,-16.6364356518242,-4.46615627583507,2.61311162664599,-1.60313309085599,0.0530666798430837,4.57630464637321e-08,7.30732788699673e-08,2.81825748664409e-11,6.88919601648639e-11
"PGR",-8.58449118493558,-7.07292820089142,-10.6097889990659,-3.42923836940459,2.20767344298758,-1.48134300905184,0.056800012255851,2.9194023023131e-11,8.83562760775679e-11,3.28429363771077e-11,8.24479210718113e-11
"PGRMC1",-3.00999457752969,-2.51007335696391,-3.93012270603725,-1.42628335138682,1.0559996224985,-1.26045202202849,0.0856000078434264,8.95911850273602e-09,1.71660977491486e-08,9.8542026112936e-10,1.99194726885117e-09
"PGRMC2",-3.97954835907798,-3.60311575599023,-5.02041005310138,-1.35859611018187,0.899947472863062,-1.42226933910477,0.0613169934234561,7.95231921457156e-11,2.17535893043984e-10,9.73514125671317e-11,2.25840415921447e-10
"PGS1",-6.78832091251814,-6.3630802164122,-7.6812777915231,-1.1468582195317,0.877153956995423,-1.20536853713738,0.105838449248922,1.12025164565711e-08,2.11852622263482e-08,1.00085066682356e-08,1.81691828061769e-08
"PHACTR1",-8.00169154964064,-6.89057777665946,-9.65478080075976,-2.80021640027606,1.77188769636297,-1.54396482200719,0.0461210496669052,1.86099940122755e-12,8.1587011513977e-12,4.12738489868408e-12,1.24320235780762e-11
