"","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
"TRAPPC9",-1.94026017841013,-1.94026017841013,0.559739821589871,1,1,0.999606164568782,1,1,1
"TRAT1",0.652532686948766,0.652532686948766,3.15253268694877,0.277426899114092,0.285201129156404,0.138714674931408,1,1,1
"TRDMT1",-1.64574745621026,-1.64574745621026,0.854252543789742,1,1,0.999842329702551,1,1,1
"TRDN",-5.23272459929846,-5.23272459929846,-2.73272459929846,1.59873516484102e-05,8.67240246969646e-07,7.99389490254917e-06,0.00040170723959727,3.44061167098904e-05,0.000200858034480366
"TREH",-4.37428478623079,-4.37428478623079,-1.87428478623079,0.000449195512920775,0.000750775806653743,0.000224597758754963,0.0102730564690304,0.0157339583423834,0.00513653999165169
"TREM1",0.0479704745553837,0.0479704745553837,2.54797047455538,0.894749820943302,0.926054437552893,0.454360421629272,1,1,1
"TREM2",2.8827151468709,2.8827151468709,5.3827151468709,1.23056679676407e-10,4.58937757305071e-10,6.15283393123889e-11,9.35013097444535e-08,3.18729813104592e-07,4.67506723441509e-08
"TREML1",0.952992288737053,0.952992288737053,3.45299228873705,0.0433800084924392,0.0741283008520938,0.0216902441034528,0.85725583465353,0.944287134820551,0.601777469512047
"TREML2",-0.833719463196265,-0.833719463196265,1.66628053680374,1,1,0.976784536844952,1,1,1
"TRERF1",-1.72375809799897,-1.72375809799897,0.776241902001034,1,1,0.998915405634823,1,1,1
"TREX1",-0.867655615105618,-0.867655615105618,1.63234438489438,1,1,0.999999865541885,1,1,1
"TREX2",-0.193933458513612,-0.193933458513612,2.30606654148639,1,1,0.672747283733324,1,1,1
"TRH",-1.47758868438615,-1.47758868438615,1.02241131561385,1,1,0.960164339353213,1,1,1
"TRHDE",-2.83461341153182,-2.83461341153182,-0.334613411531818,0.436035013876671,0.917008894696458,0.218017513354773,1,1,1
"TRIAP1",-1.23478175955018,-1.23478175955018,1.26521824044982,1,1,0.999999999997073,1,1,1
"TRIB1",-2.80263817466974,-2.80263817466974,-0.302638174669741,0.198258060029872,0.258543643454529,0.0991290300149359,1,1,0.948895282026862
"TRIB2",-1.46805466724058,-1.46805466724058,1.03194533275942,1,1,0.999924125396697,1,1,1
"TRIB3",1.43654731755738,1.43654731755738,3.93654731755738,5.70922837337451e-08,5.35635024264117e-08,2.85461418658706e-08,2.00567040076858e-05,1.83714785290925e-05,1.00283523793914e-05
"TRIL",-2.00699580370512,-2.00699580370512,0.493004196294882,1,1,0.94624647340254,1,1,1
"TRIM10",-1.23300628925287,-1.23300628925287,1.26699371074713,1,1,0.973568571329548,1,1,1
"TRIM11",-1.29955501224252,-1.29955501224252,1.20044498775748,1,1,0.999999999845802,1,1,1
"TRIM13",-1.4196411837237,-1.4196411837237,1.0803588162763,1,1,0.999999573998525,1,1,1
"TRIM14",-0.386528310537074,-0.386528310537074,2.11347168946293,1,1,0.868403911644953,1,1,1
"TRIM15",-0.346939162020016,-0.346939162020016,2.15306083797998,0.99616942740787,1,0.665261887731717,1,1,1
"TRIM16",-1.35239195417455,-1.35239195417455,1.14760804582545,1,1,0.999999200434424,1,1,1
"TRIM16L",-1.45728691387014,-1.45728691387014,1.04271308612986,1,1,0.999999645425008,1,1,1
"TRIM17",-1.65377115661254,-1.65377115661254,0.846228843387462,1,1,0.975786911649177,1,1,1
"TRIM2",-3.83549151768445,-3.83549151768445,-1.33549151768445,2.59051855305972e-05,0.000238116794627314,1.29525927652989e-05,0.000809031373508306,0.00565382397893619,0.000404515949847779
"TRIM21",-0.972539599845306,-0.972539599845306,1.52746040015469,1,1,0.999999062937753,1,1,1
"TRIM22",-0.458970181645362,-0.458970181645362,2.04102981835464,1,1,0.955016994084109,1,1,1
"TRIM23",-1.65785834122575,-1.65785834122575,0.842141658774247,1,1,0.999699914503419,1,1,1
"TRIM24",-1.89985501512561,-1.89985501512561,0.60014498487439,1,1,0.998384965894375,1,1,1
"TRIM25",-1.30666522754075,-1.30666522754075,1.19333477245925,1,1,0.999999760374786,1,1,1
"TRIM26",-1.84732387639104,-1.84732387639104,0.652676123608962,1,1,0.999924724230247,1,1,1
"TRIM27",-1.43789974291472,-1.43789974291472,1.06210025708528,1,1,0.999999993417125,1,1,1
"TRIM28",-1.38490238080076,-1.38490238080076,1.11509761919924,1,1,0.999999999885501,1,1,1
"TRIM29",-4.038028688255,-4.038028688255,-1.538028688255,0.00815218837761289,0.00147073791621252,0.00407609491124987,0.129661658324673,0.0284949613970681,0.0648309902818957
"TRIM3",-1.15108997876758,-1.15108997876758,1.34891002123242,1,1,0.999999998729399,1,1,1
"TRIM31",-1.32297479708798,-1.32297479708798,1.17702520291202,1,1,0.998110566306992,1,1,1
"TRIM32",-1.84650682283469,-1.84650682283469,0.653493177165314,1,1,0.995661928087936,1,1,1
"TRIM33",-2.126993212442,-2.126993212442,0.373006787557997,1,1,0.961095400871498,1,1,1
"TRIM34",-1.59422554558817,-1.59422554558817,0.905774454411829,1,1,0.998835994759419,1,1,1
"TRIM35",-1.52717888912901,-1.52717888912901,0.972821110870989,1,1,0.999999001056492,1,1,1
"TRIM36",-0.467646125297142,-0.467646125297142,2.03235387470286,1,1,0.959500519211977,1,1,1
"TRIM37",-2.01510592211317,-2.01510592211317,0.484894077886834,1,1,0.988862747956855,1,1,1
"TRIM38",-1.10693816317316,-1.10693816317316,1.39306183682684,1,1,0.999998640751324,1,1,1
"TRIM39",-1.58601423521432,-1.58601423521432,0.913985764785681,1,1,0.999999113945119,1,1,1
"TRIM4",-1.64136534477236,-1.64136534477236,0.858634655227638,1,1,0.999953142958026,1,1,1
"TRIM41",-1.73266170062988,-1.73266170062988,0.767338299370118,1,1,0.99997189073186,1,1,1
"TRIM42",-0.830170050185432,-0.830170050185432,1.66982994981457,0.990634347897977,1,0.836227325220679,1,1,1
"TRIM44",-2.36980945395266,-2.36980945395266,0.130190546047339,1,1,0.674588065583241,1,1,1
"TRIM45",-2.02330304943217,-2.02330304943217,0.476696950567829,1,1,0.972301063879665,1,1,1
"TRIM46",0.330081330297384,0.330081330297384,2.83008133029738,0.314659841426174,0.43419014381384,0.157329920714887,1,1,1
"TRIM47",-1.07735567392468,-1.07735567392468,1.42264432607532,1,1,0.999999792896239,1,1,1
"TRIM5",-1.433955999548,-1.433955999548,1.066044000452,1,1,0.999999898755293,1,1,1
"TRIM50",-4.28806299261288,-4.28806299261288,-1.78806299261288,0.000835827306701774,0.00121246659795012,0.000417913659637502,0.0174212461488721,0.0237280545251168,0.00871062425804111
