"","j","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
" g__Veillonella",-0.48,0.521666675581848,-1.84602833223513,-0.387193830548442,0.30015730077201,0.298059867519551,0.150089584942191,0.945465886160117,0.938511348381909,0.504228086904287
" g__Porphyromonas",-0.48,-0.000815044426240696,-2.36851005224322,-0.909675550556531,0.0822752834133703,0.0870252645773388,0.0411668105382011,0.442975569168679,0.418203066769697,0.224427216626688
" g__Prevotella",-0.48,0.428075586568661,-1.93961942124832,-0.480784919561629,0.458567077912386,0.527845379524027,0.231805702941177,0.997958675375497,1,0.607877700975373
" g__Fusobacterium",-0.48,0.976169819294239,-1.39152518852274,0.0673093131639491,0.999392027961477,1,0.581192514788833,1,1,0.922472266361492
" g__Aggregatibacter",-0.48,0.164501509198278,-2.2031934986187,-0.744358996932012,0.632117840824078,0.543187959490743,0.408632069464824,0.992867676298302,0.998784646784499,0.775006551532022
" g__Abiotrophia",-0.48,-0.577861311411209,-2.94555631922819,-1.4867218175415,0.25160681628044,0.12309938338198,0.143078585973608,0.734768014363646,0.501934212523755,0.43536866052793
" g__Actinobacillus",-0.48,-2.05547890157267,-4.42317390938965,-2.96433940770296,0.0748592245353585,0.0136719177446464,0.043195395231127,0.376676053542925,0.11236461010933,0.209052389765673
" g__Rothia",-0.48,-0.143054815678993,-2.51074982349597,-1.05191532180928,0.013063644209326,0.0192615513808394,0.00653214118055379,0.116386899294318,0.134319394093803,0.0582699793766047
" g__[Prevotella]",-0.48,-0.983153256943857,-3.35084826476084,-1.89201376307415,0.00154665966155764,0.00311106474460097,0.000773768965283314,0.0195910223797301,0.038853166075617,0.00980107356025531
" g__Capnocytophaga",-0.48,0.927177178847457,-1.44051782896952,0.0183166727171666,0.959830517177549,0.969340790083004,0.518248271827205,1,1,0.888114833230148
" g__Leptotrichia",-0.48,1.38332654339333,-0.984368464423647,0.474466037263042,1,1,0.919963114254084,1,1,0.999684604691446
" g__Campylobacter",-0.48,1.58036288663833,-0.787332121178649,0.671502380508041,1,1,0.970228316568588,1,1,0.99983309055404
" g__Lautropia",-0.48,-0.574031924610844,-2.94172693242782,-1.48289243074113,0.134804422234019,0.117127095182726,0.0700908253402521,0.601410733728441,0.486815014561016,0.315428476469878
" g__Actinomyces",-0.48,0.656807150657551,-1.71088785715943,-0.252053355472739,0.442838637104649,0.518193762072324,0.221425258051384,0.975407140792336,0.989921174884657,0.58786830847751
" g__Oribacterium",-0.48,0.97400321705884,-1.39369179075814,0.0651427109285494,0.977510593930023,1,0.557743888503021,1,1,0.908972585839993
" g__Kingella",-0.48,1.07659345988879,-1.29110154792819,0.167732953758501,0.904472235691798,0.871966883973706,0.685015951276346,0.998996089747405,0.999884917617722,0.925221455309635
